bvets motor noise table 0.01
0,1,0.8,0.01,0.4,1,1,1,0.4
4,1,0.8,0.01,0.4,1,1,1,0.48
12.5,1,0.8,0.175,0.4,1,1,1,0.65
13,0.8,0.866667,0.184706,0.4,1,1,1,0.66
14,1,1,0.204118,0.4,1,1,1,0.68
18,1,0.958974,0.281765,0.4,1,1,1,0.76
30,0.905882,0.835897,0.514706,0.4,1,1,1,1
33.5,0.878431,0.8,0.582647,0.4,1,1,1,1.077778
38,0.843137,0.01,0.67,0.4,1,1,1,1.177778
43.5,0.8,0.01,0.776765,0.4,1,1,1,1.3
48,0.8,0.01,0.864118,0.4,1,1,1,1.4
55,0.8,0.01,1,0.4,1,1,1,1.4
80,0.8,0.01,1.555556,1,1,1,1,1.4
100,0.8,0.01,2,1.4,1,1,1,1.4
